coin,name,networkList
SDL,Saddle,"[{'coin': 'SDL', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'Saddle', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '34000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0xf1Dc500FdE233A4055e25e5BbF516372BC4F6871', 'withdrawTips': None, 'depositTips': None}]"
SDN,Shiden,"[{'coin': 'SDN', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 25, 'name': 'Shiden', 'network': 'SDN', 'withdrawEnable': True, 'withdrawFee': '0.1', 'withdrawIntegerMultiple': None, 'withdrawMax': '600000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '', 'withdrawTips': 'The token currently only supports the mainnet of sr25519 network, other types of deposits and withdrawals will not be credited.', 'depositTips': 'This token only supports the sr25519 mainnet currently. Other types of deposits and withdrawals will not be credited.'}]"
OPUL,Opulous,"[{'coin': 'OPUL', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 10, 'name': 'Opulous', 'network': 'Algorand(ALGO)', 'withdrawEnable': True, 'withdrawFee': '4', 'withdrawIntegerMultiple': None, 'withdrawMax': '4000000', 'withdrawMin': '10', 'sameAddress': False, 'contract': '287867876', 'withdrawTips': 'As OPUL is on ALGO chain, it’s mandatory for users to activate OPUL(ASSET : 287867876) on the certain address. .Otherwise the withdrawal will not be successful.', 'depositTips': None}, {'coin': 'OPUL', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Opulous', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '88', 'withdrawIntegerMultiple': None, 'withdrawMax': '4000000', 'withdrawMin': '211.2', 'sameAddress': False, 'contract': '0x80d55c03180349fff4a229102f62328220a96444', 'withdrawTips': None, 'depositTips': None}]"
SDP,Sopdap AI,"[{'coin': 'SDP', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'Sopdap AI', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '3210', 'withdrawIntegerMultiple': None, 'withdrawMax': '33333333', 'withdrawMin': '3836.4', 'sameAddress': False, 'contract': '0xA398FC83d922537900eC0E02C51F4105AB2E2f5c', 'withdrawTips': ""The last digits of the token's contract address are 2f5c, please make sure they're correct before taking action."", 'depositTips': ""The last digits of the token's contract address are 2f5c, please make sure they're correct before taking action.""}]"
PMEER,QITMEER,"[{'coin': 'PMEER', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 10, 'name': 'QITMEER', 'network': 'PMEER', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '3000000', 'withdrawMin': '10', 'sameAddress': False, 'contract': '', 'withdrawTips': None, 'depositTips': None}]"
BCB,Blockchain Bets,"[{'coin': 'BCB', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Blockchain Bets', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '500', 'withdrawIntegerMultiple': None, 'withdrawMax': '80000000', 'withdrawMin': '2560.8', 'sameAddress': False, 'contract': '0x2d886570A0dA04885bfD6eb48eD8b8ff01A0eb7e', 'withdrawTips': None, 'depositTips': None}]"
STOS,Stratos,"[{'coin': 'STOS', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Stratos', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '8', 'withdrawIntegerMultiple': None, 'withdrawMax': '340000', 'withdrawMin': '40', 'sameAddress': False, 'contract': '0x08c32b0726C5684024ea6e141C50aDe9690bBdcc', 'withdrawTips': None, 'depositTips': None}]"
SDT,Solidex,"[{'coin': 'SDT', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 12, 'name': 'Solidex', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '152', 'withdrawIntegerMultiple': None, 'withdrawMax': '13000000', 'withdrawMin': '406.8', 'sameAddress': False, 'contract': '0x54e22edb6F3520767345c8f44Ae99F0ef2255e26', 'withdrawTips': None, 'depositTips': None}]"
MARBLE,Marbles Bet,"[{'coin': 'MARBLE', 'depositDesc': 'Deposit is prohibited (forced deposit may result in asset loss)', 'depositEnable': False, 'minConfirm': 64, 'name': 'Marbles Bet', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '6666666.666666', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x8EA9bEDb8Bb7E99643844Ec79543F4faa78453E4', 'withdrawTips': None, 'depositTips': None}]"
BCC,BasisCoinCash,"[{'coin': 'BCC', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'BasisCoinCash', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '1000000', 'withdrawMin': '0.3', 'sameAddress': False, 'contract': '0xae17f4f5ca32f77ea8e3786db7c0b2fe877ac176', 'withdrawTips': None, 'depositTips': None}]"
NWUMBO,NWUMBO,"[{'coin': 'NWUMBO', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': 'NWUMBO', 'network': 'NONE', 'withdrawEnable': False, 'withdrawFee': '1', 'withdrawIntegerMultiple': None, 'withdrawMax': '200000', 'withdrawMin': '2', 'sameAddress': False, 'contract': '', 'withdrawTips': None, 'depositTips': None}]"
JSM,Joseon Mun,"[{'coin': 'JSM', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Joseon Mun', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '500', 'withdrawIntegerMultiple': None, 'withdrawMax': '20000000', 'withdrawMin': '1000', 'sameAddress': False, 'contract': '0x04C618CDbc1D59142dFEB4B9864835A06983EC2d', 'withdrawTips': None, 'depositTips': None}]"
BCH,Bitcoin Cash Node,"[{'coin': 'BCH', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 8, 'name': 'Bitcoin Cash Node', 'network': 'Bitcoin Cash(BCH)', 'withdrawEnable': True, 'withdrawFee': '0.001', 'withdrawIntegerMultiple': None, 'withdrawMax': '2000', 'withdrawMin': '0.02', 'sameAddress': False, 'contract': '', 'withdrawTips': None, 'depositTips': None}]"
BCG,Block Chain Games,"[{'coin': 'BCG', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 12, 'name': 'Block Chain Games', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '900000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0xAA988635cDb9cA6dedB1d97DDc8E7dE4285fE5F6', 'withdrawTips': 'Please note that there will be an additional  7% fee for each transfer of BCG to the official smart contract.', 'depositTips': 'Please note that there will be an additional  7% fee for each transfer of BCG to the official smart contract.'}]"
HUAHUA,Chihuahua,"[{'coin': 'HUAHUA', 'depositDesc': 'Deposit is prohibited (forced deposit may result in asset loss)', 'depositEnable': False, 'minConfirm': 30, 'name': 'Chihuahua', 'network': 'OSMO', 'withdrawEnable': False, 'withdrawFee': '0.0001', 'withdrawIntegerMultiple': None, 'withdrawMax': '2750000000', 'withdrawMin': '0.001', 'sameAddress': True, 'contract': 'ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228', 'withdrawTips': None, 'depositTips': 'Address and Memo/Tag need to fill up at the same time to deposit HUAHUA successfully.'}, {'coin': 'HUAHUA', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 30, 'name': 'Chihuahua', 'network': 'HUAHUA', 'withdrawEnable': True, 'withdrawFee': '1', 'withdrawIntegerMultiple': None, 'withdrawMax': '4000000000', 'withdrawMin': '10', 'sameAddress': True, 'contract': '', 'withdrawTips': None, 'depositTips': None}]"
JST,JUST,"[{'coin': 'JST', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 20, 'name': 'JUST', 'network': 'Tron(TRC20)', 'withdrawEnable': True, 'withdrawFee': '28', 'withdrawIntegerMultiple': None, 'withdrawMax': '50000000', 'withdrawMin': '100', 'sameAddress': False, 'contract': 'TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9', 'withdrawTips': None, 'depositTips': None}]"
SEA,StarSharks SEA,"[{'coin': 'SEA', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': 'StarSharks SEA', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '33000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x26193C7fa4354AE49eC53eA2cEBC513dc39A10aa', 'withdrawTips': None, 'depositTips': None}]"
BCP,Bcprotocol,"[{'coin': 'BCP', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'Bcprotocol', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '2.5', 'withdrawIntegerMultiple': None, 'withdrawMax': '500000', 'withdrawMin': '5', 'sameAddress': False, 'contract': '0xD88Aa56e7214E9BD8E5a5df5312B516c7Bd4FD27', 'withdrawTips': None, 'depositTips': None}]"
SEC,Sappchat,"[{'coin': 'SEC', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'Sappchat', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '103', 'withdrawIntegerMultiple': None, 'withdrawMax': '660000', 'withdrawMin': '126', 'sameAddress': False, 'contract': '0xEBb70097C0F441BF9D640A70d780FcD0b2b6ce53', 'withdrawTips': ""The token name of Sappchat (SER) is SEC in MEXC; The last digits of the token's contract address are ce53, please make sure they're correct before taking action."", 'depositTips': ""The token name of Sappchat (SER) is SEC in MEXC; The last digits of the token's contract address are ce53, please make sure they're correct before taking action.""}]"
BCT,BabyChita Token,"[{'coin': 'BCT', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'BabyChita Token', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '10000', 'withdrawIntegerMultiple': None, 'withdrawMax': '2000000000', 'withdrawMin': '20000', 'sameAddress': False, 'contract': '0xf6d2657EBb5602bF823901412c5e41e030f3ece2', 'withdrawTips': None, 'depositTips': None}]"
2,2.0,"[{'coin': '2', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': '2.0', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '307692307.692307', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x0c9d67B54aD1d7e9ca639Ec4446024dE6E5EaD85', 'withdrawTips': 'Please note that there will be an additional  2% fee for each transfer of 2 to the official smart contract.', 'depositTips': 'Please note that 2 will charge a 4% fee for each deposit (including 2% for transfer to official smart contracts and 2% for funds pooling on the platform).'}]"
BCS,BasisCoinShare,"[{'coin': 'BCS', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'BasisCoinShare', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '10000', 'withdrawMin': '0.1', 'sameAddress': False, 'contract': '0x03066da434e5264ef0b32f787923f974a5726fdc', 'withdrawTips': None, 'depositTips': None}]"
SEI,SEI,"[{'coin': 'SEI', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 300, 'name': 'SEI', 'network': 'Sei', 'withdrawEnable': True, 'withdrawFee': '1', 'withdrawIntegerMultiple': None, 'withdrawMax': '1250000', 'withdrawMin': '2', 'sameAddress': True, 'contract': '', 'withdrawTips': None, 'depositTips': None}]"
PKROLD,Polker,"[{'coin': 'PKROLD', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 12, 'name': 'Polker', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '106680', 'withdrawMin': '106677', 'sameAddress': False, 'contract': '0xc49DDe62B4A0810074721fAcA54Aab52369f486a', 'withdrawTips': None, 'depositTips': None}, {'coin': 'PKROLD', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'Polker', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '64062259', 'withdrawMin': '64062255', 'sameAddress': False, 'contract': '0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c', 'withdrawTips': None, 'depositTips': None}]"
MOMAT,Moma Token,"[{'coin': 'MOMAT', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'Moma Token', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '30000000', 'withdrawMin': '1400', 'sameAddress': False, 'contract': '0x865bb9a28041259b4badafd37799a288aabbfc8c', 'withdrawTips': None, 'depositTips': None}]"
SEN,Consensus,"[{'coin': 'SEN', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'Consensus', 'network': 'Ethereum(ERC20)', 'withdrawEnable': False, 'withdrawFee': '200', 'withdrawIntegerMultiple': None, 'withdrawMax': '500000', 'withdrawMin': '500', 'sameAddress': False, 'contract': '0xd53370acf66044910bb49cbcfe8f3cd020337f60', 'withdrawTips': None, 'depositTips': None}]"
WOZX,FFORCE IEO,"[{'coin': 'WOZX', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'FFORCE IEO', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '50000', 'withdrawMin': '2.8', 'sameAddress': False, 'contract': '0x34950Ff2b487d9E5282c5aB342d08A2f712eb79F', 'withdrawTips': None, 'depositTips': None}]"
DPWK,dontplaywithkitty,"[{'coin': 'DPWK', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': 'dontplaywithkitty', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '24000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0xf6d5f0BBb71545f3679B37BA8B2268dAfA71E277', 'withdrawTips': None, 'depositTips': None}]"
SER,Secretum,"[{'coin': 'SER', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 100, 'name': 'Secretum', 'network': 'Solana(SOL)', 'withdrawEnable': True, 'withdrawFee': '620', 'withdrawIntegerMultiple': None, 'withdrawMax': '72000000', 'withdrawMin': '800', 'sameAddress': False, 'contract': 'HNpdP2rL6FR6jM3bDxFX2Zo32D1YG2ZCztf9zzCrKMEX', 'withdrawTips': 'Due to network congestion of the Solana chain, it might take longer time to process withdrawal requests. Please confirm before proceeding.', 'depositTips': None}]"
BADGE,BADGE Token,"[{'coin': 'BADGE', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': 'BADGE Token', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '1000000', 'withdrawMin': '2', 'sameAddress': False, 'contract': '0x09C5a4eF1629789f2F003f1e66CaC2becC9897d4', 'withdrawTips': None, 'depositTips': None}]"
WEMIX,WEMIX TOKEN,"[{'coin': 'WEMIX', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 60, 'name': 'WEMIX TOKEN', 'network': 'WEMIX', 'withdrawEnable': True, 'withdrawFee': '0.1', 'withdrawIntegerMultiple': None, 'withdrawMax': '550000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '', 'withdrawTips': None, 'depositTips': None}]"
JTO,JITO,"[{'coin': 'JTO', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 100, 'name': 'JITO', 'network': 'Solana(SOL)', 'withdrawEnable': True, 'withdrawFee': '0.5', 'withdrawIntegerMultiple': None, 'withdrawMax': '150000', 'withdrawMin': '1', 'sameAddress': False, 'contract': 'jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL', 'withdrawTips': 'Due to network congestion of the Solana chain, it might take longer time to process withdrawal requests. Please confirm before proceeding.', 'depositTips': None}]"
DIAMOND,DIAMOND,"[{'coin': 'DIAMOND', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'DIAMOND', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '724667361281350', 'withdrawIntegerMultiple': None, 'withdrawMax': '4000000000000000000', 'withdrawMin': '1020182149374373.2', 'sameAddress': False, 'contract': '0x4E40E998B87a377a4dDad7B476522bA562123A0d', 'withdrawTips': None, 'depositTips': None}]"
SEX,Sex Token,"[{'coin': 'SEX', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 100, 'name': 'Sex Token', 'network': 'Arbitrum One(ARB)', 'withdrawEnable': True, 'withdrawFee': '0.000000004', 'withdrawIntegerMultiple': None, 'withdrawMax': '0.012', 'withdrawMin': '0.00000001', 'sameAddress': False, 'contract': '0xd26B0c6Ef8581E921AE41C66e508C62a581B709D', 'withdrawTips': None, 'depositTips': None}]"
L,L,"[{'coin': 'L', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'L', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '9176229', 'withdrawIntegerMultiple': None, 'withdrawMax': '10000000000', 'withdrawMin': '12787921.2', 'sameAddress': False, 'contract': '0xf8C76dbeA329Ec4Fa987AFC514f805b21b249D79', 'withdrawTips': None, 'depositTips': None}]"
2CRZ,2Crazy,"[{'coin': '2CRZ', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': '2CrazyToken', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '130000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x3a6e8B36645D6c252714dadDD28eC0673535a109', 'withdrawTips': None, 'depositTips': None}, {'coin': '2CRZ', 'depositDesc': 'In view of cross-chain bridge issues, deposit suspended\r\n', 'depositEnable': False, 'minConfirm': 64, 'name': '2Crazy', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '3000000', 'withdrawMin': '6', 'sameAddress': False, 'contract': '0x2c9c19ce3b15ae77c6d80aec3c1194cfd6f7f3fa', 'withdrawTips': None, 'depositTips': None}]"
BDP,Big Data Protocol,"[{'coin': 'BDP', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Big Data Protocol', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '43', 'withdrawIntegerMultiple': None, 'withdrawMax': '880000', 'withdrawMin': '133.2', 'sameAddress': False, 'contract': '0xf3dcbc6d72a4e1892f7917b7c43b74131df8480e', 'withdrawTips': None, 'depositTips': None}]"
SFF,Sunflower Farm,"[{'coin': 'SFF', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 300, 'name': 'Sunflower Farm', 'network': 'Polygon(MATIC)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '31250000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0xdf9b4b57865b403e08c85568442f95c26b7896b0', 'withdrawTips': None, 'depositTips': None}]"
R,R,"[{'coin': 'R', 'depositDesc': 'Deposit is prohibited (forced deposit may result in asset loss)', 'depositEnable': False, 'minConfirm': 64, 'name': 'R', 'network': 'Ethereum(ERC20)', 'withdrawEnable': False, 'withdrawFee': '58', 'withdrawIntegerMultiple': None, 'withdrawMax': '200000', 'withdrawMin': '87.6', 'sameAddress': False, 'contract': '0x183015a9bA6fF60230fdEaDc3F43b3D788b13e21', 'withdrawTips': None, 'depositTips': None}]"
BDT,Bandot,"[{'coin': 'BDT', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Bandot', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '97250', 'withdrawIntegerMultiple': None, 'withdrawMax': '4000000000', 'withdrawMin': '50000', 'sameAddress': False, 'contract': '0x216e9d8a521d93ec769635859c57938119fe5369', 'withdrawTips': None, 'depositTips': None}]"
T,Threshold,"[{'coin': 'T', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Threshold', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '199', 'withdrawIntegerMultiple': None, 'withdrawMax': '12000000', 'withdrawMin': '506.4', 'sameAddress': False, 'contract': '0xCdF7028ceAB81fA0C6971208e83fa7872994beE5', 'withdrawTips': None, 'depositTips': None}]"
U,Unidef,"[{'coin': 'U', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'Unidef', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '5000', 'withdrawIntegerMultiple': None, 'withdrawMax': '250000000', 'withdrawMin': '10000', 'sameAddress': False, 'contract': '0x89dB9B433FeC1307d3dc8908f2813e9f7a1d38F0', 'withdrawTips': None, 'depositTips': None}]"
